time_period,year,ef_lndu_conv_croplands_to_croplands_gg_co2_ha,ef_lndu_conv_croplands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_croplands_to_forests_primary_gg_co2_ha,ef_lndu_conv_croplands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_croplands_to_grasslands_gg_co2_ha,ef_lndu_conv_croplands_to_other_gg_co2_ha,ef_lndu_conv_croplands_to_settlements_gg_co2_ha,ef_lndu_conv_croplands_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_croplands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_other_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,ef_lndu_conv_forests_mangroves_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_primary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_primary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_primary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_primary_to_other_gg_co2_ha,ef_lndu_conv_forests_primary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_primary_to_wetlands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_croplands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_primary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_forests_secondary_gg_co2_ha,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,ef_lndu_conv_forests_secondary_to_other_gg_co2_ha,ef_lndu_conv_forests_secondary_to_settlements_gg_co2_ha,ef_lndu_conv_forests_secondary_to_wetlands_gg_co2_ha,ef_lndu_conv_grasslands_to_croplands_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_primary_gg_co2_ha,ef_lndu_conv_grasslands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_grasslands_to_grasslands_gg_co2_ha,ef_lndu_conv_grasslands_to_other_gg_co2_ha,ef_lndu_conv_grasslands_to_settlements_gg_co2_ha,ef_lndu_conv_grasslands_to_wetlands_gg_co2_ha,ef_lndu_conv_other_to_croplands_gg_co2_ha,ef_lndu_conv_other_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_other_to_forests_primary_gg_co2_ha,ef_lndu_conv_other_to_forests_secondary_gg_co2_ha,ef_lndu_conv_other_to_grasslands_gg_co2_ha,ef_lndu_conv_other_to_other_gg_co2_ha,ef_lndu_conv_other_to_settlements_gg_co2_ha,ef_lndu_conv_other_to_wetlands_gg_co2_ha,ef_lndu_conv_settlements_to_croplands_gg_co2_ha,ef_lndu_conv_settlements_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_settlements_to_forests_primary_gg_co2_ha,ef_lndu_conv_settlements_to_forests_secondary_gg_co2_ha,ef_lndu_conv_settlements_to_grasslands_gg_co2_ha,ef_lndu_conv_settlements_to_other_gg_co2_ha,ef_lndu_conv_settlements_to_settlements_gg_co2_ha,ef_lndu_conv_settlements_to_wetlands_gg_co2_ha,ef_lndu_conv_wetlands_to_croplands_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_mangroves_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_primary_gg_co2_ha,ef_lndu_conv_wetlands_to_forests_secondary_gg_co2_ha,ef_lndu_conv_wetlands_to_grasslands_gg_co2_ha,ef_lndu_conv_wetlands_to_other_gg_co2_ha,ef_lndu_conv_wetlands_to_settlements_gg_co2_ha,ef_lndu_conv_wetlands_to_wetlands_gg_co2_ha,frac_lndu_initial_croplands,frac_lndu_initial_forests_mangroves,frac_lndu_initial_forests_primary,frac_lndu_initial_forests_secondary,frac_lndu_initial_grasslands,frac_lndu_initial_other,frac_lndu_initial_settlements,frac_lndu_initial_wetlands,gdp_mmm_usd
0,2015,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,47.41391982
1,2016,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,49.77440937
2,2017,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,53.27488453
3,2018,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,57.033436889197404
4,2019,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,61.131569010376204
5,2020,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,64.43568065268151
6,2021,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,67.54041373905439
7,2022,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,70.78205234958706
8,2023,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,74.53350127977443
9,2024,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,78.63284378575129
10,2025,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,82.95765011613798
11,2026,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,87.83141238184376
12,2027,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,92.99150767678003
13,2028,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,98.45475847099397
14,2029,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,104.23897593909942
15,2030,0.0,0.0,0.0,0.0,0.0004974822540037768,0.0,0.0,0.001453669995934625,0.013079233263044238,0.0,0.001165727906434072,0.011057102775422866,0.013576715517048015,0.0,0.01246760265502465,0.014532903258978862,0.011913505356610166,0.0,0.0,0.009891374868988794,0.012410987610613943,0.0,0.011301874748590578,0.01336717535254479,0.0020221304876213726,0.0,0.0,0.0,0.0025196127416251494,0.0,0.0014104998796017846,0.0034758004835559976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009561877419308482,0.016022174175125036,0.002942940912080798,0.00410866881851487,0.014000043687503664,0.016519656429128813,0.0,0.015410543567105448,0.01747584417105966,0.000611630608019588,0.0,0.0,0.0,0.0011091128620233648,0.0,0.0,0.002065300603954213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2559051339982231,0.00801417589655841,0.15571747444786874,0.2531405278605383,0.0343538935281512,0.1756059686132169,0.0010621294329445918,0.11620069622249862,110.36301578290191
