"industry total final consumption by source in China",Value,Year,Units
"Coal and coal products",7669779,2000, TJ
"Coal and coal products",8087306,2001, TJ
"Coal and coal products",8414527,2002, TJ
"Coal and coal products",9785203,2003, TJ
"Coal and coal products",13002144,2004, TJ
"Coal and coal products",17241115,2005, TJ
"Coal and coal products",18317137,2006, TJ
"Coal and coal products",19644153,2007, TJ
"Coal and coal products",21128435,2008, TJ
"Coal and coal products",22634658,2009, TJ
"Coal and coal products",24123722,2010, TJ
"Coal and coal products",25787576,2011, TJ
"Coal and coal products",26009866,2012, TJ
"Coal and coal products",25668664,2013, TJ
"Coal and coal products",25638557,2014, TJ
"Coal and coal products",24800594,2015, TJ
"Coal and coal products",22980595,2016, TJ
"Coal and coal products",20835466,2017, TJ
"Coal and coal products",19593278,2018, TJ
"Coal and coal products",18674482,2019, TJ
"Coal and coal products",18111044,2020, TJ
"Coal and coal products",17409448,2021, TJ
"Coal and coal products",16655293,2022, TJ
"Coal and coal products",16557290,2023, TJ
"Oil and oil products",1305044,2000, TJ
"Oil and oil products",1328232,2001, TJ
"Oil and oil products",1371182,2002, TJ
"Oil and oil products",1440310,2003, TJ
"Oil and oil products",1849569,2004, TJ
"Oil and oil products",1873700,2005, TJ
"Oil and oil products",2022466,2006, TJ
"Oil and oil products",2032269,2007, TJ
"Oil and oil products",1975476,2008, TJ
"Oil and oil products",1980405,2009, TJ
"Oil and oil products",2534358,2010, TJ
"Oil and oil products",2025666,2011, TJ
"Oil and oil products",2182664,2012, TJ
"Oil and oil products",2039236,2013, TJ
"Oil and oil products",2048261,2014, TJ
"Oil and oil products",2194623,2015, TJ
"Oil and oil products",2231499,2016, TJ
"Oil and oil products",2089706,2017, TJ
"Oil and oil products",2275612,2018, TJ
"Oil and oil products",2548809,2019, TJ
"Oil and oil products",2338315,2020, TJ
"Oil and oil products",2110942,2021, TJ
"Oil and oil products",3325787,2022, TJ
"Oil and oil products",3446953,2023, TJ
"Natural gas",175594,2000, TJ
"Natural gas",206136,2001, TJ
"Natural gas",196074,2002, TJ
"Natural gas",268539,2003, TJ
"Natural gas",373581,2004, TJ
"Natural gas",455008,2005, TJ
"Natural gas",597029,2006, TJ
"Natural gas",717442,2007, TJ
"Natural gas",760885,2008, TJ
"Natural gas",730260,2009, TJ
"Natural gas",1451841,2010, TJ
"Natural gas",1204250,2011, TJ
"Natural gas",1348485,2012, TJ
"Natural gas",1595670,2013, TJ
"Natural gas",1709049,2014, TJ
"Natural gas",1603933,2015, TJ
"Natural gas",1814148,2016, TJ
"Natural gas",2351677,2017, TJ
"Natural gas",3312677,2018, TJ
"Natural gas",3862454,2019, TJ
"Natural gas",4271340,2020, TJ
"Natural gas",5234080,2021, TJ
"Natural gas",5139637,2022, TJ
"Natural gas",5609209,2023, TJ
"Heat",790852,2000, TJ
"Heat",844092,2001, TJ
"Heat",934319,2002, TJ
"Heat",1008772,2003, TJ
"Heat",1034436,2004, TJ
"Heat",1221016,2005, TJ
"Heat",1355125,2006, TJ
"Heat",1466434,2007, TJ
"Heat",1454544,2008, TJ
"Heat",1497213,2009, TJ
"Heat",1777774,2010, TJ
"Heat",1928828,2011, TJ
"Heat",2072883,2012, TJ
"Heat",2181920,2013, TJ
"Heat",2221121,2014, TJ
"Heat",2333423,2015, TJ
"Heat",2530789,2016, TJ
"Heat",2676042,2017, TJ
"Heat",2953308,2018, TJ
"Heat",3041226,2019, TJ
"Heat",3299915,2020, TJ
"Heat",4204049,2021, TJ
"Heat",5094081,2022, TJ
"Heat",5590945,2023, TJ
"Electricity",2484187,2000, TJ
"Electricity",2694823,2001, TJ
"Electricity",3047785,2002, TJ
"Electricity",3579526,2003, TJ
"Electricity",4197020,2004, TJ
"Electricity",4878691,2005, TJ
"Electricity",5718095,2006, TJ
"Electricity",6627942,2007, TJ
"Electricity",6939118,2008, TJ
"Electricity",7333232,2009, TJ
"Electricity",8506346,2010, TJ
"Electricity",9555641,2011, TJ
"Electricity",10057921,2012, TJ
"Electricity",10863154,2013, TJ
"Electricity",11828296,2014, TJ
"Electricity",11563808,2015, TJ
"Electricity",11877001,2016, TJ
"Electricity",12810121,2017, TJ
"Electricity",13660192,2018, TJ
"Electricity",14111985,2019, TJ
"Electricity",14673661,2020, TJ
"Electricity",15964815,2021, TJ
"Electricity",16159485,2022, TJ
"Electricity",17209334,2023, TJ
"Solar, wind and other renewables",318,2000, TJ
"Solar, wind and other renewables",346,2001, TJ
"Solar, wind and other renewables",373,2002, TJ
"Solar, wind and other renewables",400,2003, TJ
"Solar, wind and other renewables",428,2004, TJ
"Solar, wind and other renewables",455,2005, TJ
"Solar, wind and other renewables",503,2006, TJ
"Solar, wind and other renewables",567,2007, TJ
"Solar, wind and other renewables",631,2008, TJ
"Solar, wind and other renewables",681,2009, TJ
"Solar, wind and other renewables",735,2010, TJ
"Solar, wind and other renewables",948,2011, TJ
"Solar, wind and other renewables",1158,2012, TJ
"Solar, wind and other renewables",1353,2013, TJ
"Solar, wind and other renewables",1548,2014, TJ
"Solar, wind and other renewables",1850,2015, TJ
"Solar, wind and other renewables",2150,2016, TJ
"Solar, wind and other renewables",2440,2017, TJ
"Solar, wind and other renewables",2731,2018, TJ
"Solar, wind and other renewables",3021,2019, TJ
"Solar, wind and other renewables",3315,2020, TJ
"Solar, wind and other renewables",3639,2021, TJ
"Solar, wind and other renewables",3995,2022, TJ
"Solar, wind and other renewables",4457,2023, TJ
"Biofuels and waste",193328,2000, TJ
"Biofuels and waste",180440,2001, TJ
"Biofuels and waste",197358,2002, TJ
"Biofuels and waste",205167,2003, TJ
"Biofuels and waste",206468,2004, TJ
"Biofuels and waste",217049,2005, TJ
"Biofuels and waste",241137,2006, TJ
"Biofuels and waste",253019,2007, TJ
"Biofuels and waste",261035,2008, TJ
"Biofuels and waste",229412,2009, TJ
"Biofuels and waste",265746,2010, TJ
"Biofuels and waste",274622,2011, TJ
"Biofuels and waste",250025,2012, TJ
"Biofuels and waste",227356,2013, TJ
"Biofuels and waste",228305,2014, TJ
"Biofuels and waste",219065,2015, TJ
"Biofuels and waste",212572,2016, TJ
"Biofuels and waste",219208,2017, TJ
"Biofuels and waste",233550,2018, TJ
"Biofuels and waste",246316,2019, TJ
"Biofuels and waste",267529,2020, TJ
"Biofuels and waste",312271,2021, TJ
"Biofuels and waste",352679,2022, TJ
"Biofuels and waste",380464,2023, TJ