"commercial and public services total final consumption by source in Iran",Value,Year,Units
"Oil products",152577,2000, TJ
"Oil products",154209,2001, TJ
"Oil products",149381,2002, TJ
"Oil products",153289,2003, TJ
"Oil products",147581,2004, TJ
"Oil products",162262,2005, TJ
"Oil products",166605,2006, TJ
"Oil products",171638,2007, TJ
"Oil products",170313,2008, TJ
"Oil products",129837,2009, TJ
"Oil products",122382,2010, TJ
"Oil products",80420,2011, TJ
"Oil products",83318,2012, TJ
"Oil products",78466,2013, TJ
"Oil products",64619,2014, TJ
"Oil products",59858,2015, TJ
"Oil products",50421,2016, TJ
"Oil products",34056,2017, TJ
"Oil products",35134,2018, TJ
"Oil products",36271,2019, TJ
"Oil products",35680,2020, TJ
"Oil products",31964,2021, TJ
"Oil products",32913,2022, TJ
"Natural gas",96169,2000, TJ
"Natural gas",102828,2001, TJ
"Natural gas",118516,2002, TJ
"Natural gas",125494,2003, TJ
"Natural gas",152945,2004, TJ
"Natural gas",152103,2005, TJ
"Natural gas",174992,2006, TJ
"Natural gas",191960,2007, TJ
"Natural gas",189743,2008, TJ
"Natural gas",201067,2009, TJ
"Natural gas",209867,2010, TJ
"Natural gas",228001,2011, TJ
"Natural gas",210291,2012, TJ
"Natural gas",229205,2013, TJ
"Natural gas",235120,2014, TJ
"Natural gas",245817,2015, TJ
"Natural gas",268588,2016, TJ
"Natural gas",259405,2017, TJ
"Natural gas",250763,2018, TJ
"Natural gas",295084,2019, TJ
"Natural gas",276119,2020, TJ
"Natural gas",308502,2021, TJ
"Natural gas",313579,2022, TJ
"Electricity",62143,2000, TJ
"Electricity",66042,2001, TJ
"Electricity",70397,2002, TJ
"Electricity",76352,2003, TJ
"Electricity",82378,2004, TJ
"Electricity",89611,2005, TJ
"Electricity",99532,2006, TJ
"Electricity",106563,2007, TJ
"Electricity",112212,2008, TJ
"Electricity",118231,2009, TJ
"Electricity",122525,2010, TJ
"Electricity",105893,2011, TJ
"Electricity",109472,2012, TJ
"Electricity",112359,2013, TJ
"Electricity",126615,2014, TJ
"Electricity",139949,2015, TJ
"Electricity",145922,2016, TJ
"Electricity",154831,2017, TJ
"Electricity",155026,2018, TJ
"Electricity",164612,2019, TJ
"Electricity",159576,2020, TJ
"Electricity",175913,2021, TJ
"Electricity",182558,2022, TJ
"Biofuels and waste",2399,2000, TJ
"Biofuels and waste",2438,2001, TJ
"Biofuels and waste",1862,2002, TJ
"Biofuels and waste",1743,2003, TJ
"Biofuels and waste",1743,2004, TJ
"Biofuels and waste",11992,2005, TJ
"Biofuels and waste",11992,2006, TJ
"Biofuels and waste",12657,2007, TJ
"Biofuels and waste",12830,2008, TJ
"Biofuels and waste",12830,2009, TJ
"Biofuels and waste",12830,2010, TJ
"Biofuels and waste",10392,2011, TJ
"Biofuels and waste",10392,2012, TJ
"Biofuels and waste",10392,2013, TJ
"Biofuels and waste",10392,2014, TJ
"Biofuels and waste",10392,2015, TJ
"Biofuels and waste",10392,2016, TJ
"Biofuels and waste",10392,2017, TJ
"Biofuels and waste",10392,2018, TJ
"Biofuels and waste",10392,2019, TJ
"Biofuels and waste",10739,2020, TJ
"Biofuels and waste",10739,2021, TJ
"Biofuels and waste",10955,2022, TJ