"electricity generation sources in Iran",Value,Year,Units
"Coal",484,2000, GWh
"Coal",472,2001, GWh
"Coal",516,2002, GWh
"Coal",472,2003, GWh
"Coal",476,2004, GWh
"Coal",571,2005, GWh
"Coal",564,2006, GWh
"Coal",575,2007, GWh
"Coal",390,2008, GWh
"Coal",376,2009, GWh
"Coal",353,2010, GWh
"Coal",425,2011, GWh
"Coal",400,2012, GWh
"Coal",459,2013, GWh
"Coal",530,2014, GWh
"Coal",462,2015, GWh
"Coal",488,2016, GWh
"Coal",688,2017, GWh
"Coal",641,2018, GWh
"Coal",813,2019, GWh
"Coal",799,2020, GWh
"Coal",729,2021, GWh
"Coal",711,2022, GWh
"Oil",25360,2000, GWh
"Oil",27685,2001, GWh
"Oil",26181,2002, GWh
"Oil",22318,2003, GWh
"Oil",27035,2004, GWh
"Oil",28078,2005, GWh
"Oil",38299,2006, GWh
"Oil",40546,2007, GWh
"Oil",41564,2008, GWh
"Oil",45198,2009, GWh
"Oil",46036,2010, GWh
"Oil",66644,2011, GWh
"Oil",69348,2012, GWh
"Oil",85366,2013, GWh
"Oil",59493,2014, GWh
"Oil",40483,2015, GWh
"Oil",32035,2016, GWh
"Oil",26388,2017, GWh
"Oil",29080,2018, GWh
"Oil",48271,2019, GWh
"Oil",49633,2020, GWh
"Oil",51780,2021, GWh
"Oil",49784,2022, GWh
"Natural gas",91838,2000, GWh
"Natural gas",96931,2001, GWh
"Natural gas",106269,2002, GWh
"Natural gas",119963,2003, GWh
"Natural gas",128733,2004, GWh
"Natural gas",133268,2005, GWh
"Natural gas",135428,2006, GWh
"Natural gas",144735,2007, GWh
"Natural gas",167377,2008, GWh
"Natural gas",168336,2009, GWh
"Natural gas",176871,2010, GWh
"Natural gas",160359,2011, GWh
"Natural gas",170004,2012, GWh
"Natural gas",157084,2013, GWh
"Natural gas",195847,2014, GWh
"Natural gas",222448,2015, GWh
"Natural gas",233252,2016, GWh
"Natural gas",257910,2017, GWh
"Natural gas",255825,2018, GWh
"Natural gas",238435,2019, GWh
"Natural gas",263030,2020, GWh
"Natural gas",285394,2021, GWh
"Natural gas",294898,2022, GWh
"Nuclear",,2000, GWh
"Nuclear",,2001, GWh
"Nuclear",,2002, GWh
"Nuclear",,2003, GWh
"Nuclear",,2004, GWh
"Nuclear",,2005, GWh
"Nuclear",,2006, GWh
"Nuclear",,2007, GWh
"Nuclear",,2008, GWh
"Nuclear",,2009, GWh
"Nuclear",,2010, GWh
"Nuclear",327,2011, GWh
"Nuclear",1847,2012, GWh
"Nuclear",4546,2013, GWh
"Nuclear",4472,2014, GWh
"Nuclear",2914,2015, GWh
"Nuclear",6620,2016, GWh
"Nuclear",7513,2017, GWh
"Nuclear",7450,2018, GWh
"Nuclear",6756,2019, GWh
"Nuclear",5526,2020, GWh
"Nuclear",4358,2021, GWh
"Nuclear",8084,2022, GWh
"Hydro",3664,2000, GWh
"Hydro",5077,2001, GWh
"Hydro",8085,2002, GWh
"Hydro",11098,2003, GWh
"Hydro",10627,2004, GWh
"Hydro",16100,2005, GWh
"Hydro",18266,2006, GWh
"Hydro",17987,2007, GWh
"Hydro",5003,2008, GWh
"Hydro",7233,2009, GWh
"Hydro",9526,2010, GWh
"Hydro",12058,2011, GWh
"Hydro",12447,2012, GWh
"Hydro",14582,2013, GWh
"Hydro",13862,2014, GWh
"Hydro",14090,2015, GWh
"Hydro",16421,2016, GWh
"Hydro",15395,2017, GWh
"Hydro",15765,2018, GWh
"Hydro",31087,2019, GWh
"Hydro",22075,2020, GWh
"Hydro",12267,2021, GWh
"Hydro",12619,2022, GWh
"Biofuels",,2000, GWh
"Biofuels",,2001, GWh
"Biofuels",,2002, GWh
"Biofuels",,2003, GWh
"Biofuels",,2004, GWh
"Biofuels",,2005, GWh
"Biofuels",,2006, GWh
"Biofuels",,2007, GWh
"Biofuels",,2008, GWh
"Biofuels",2,2009, GWh
"Biofuels",10,2010, GWh
"Biofuels",22,2011, GWh
"Biofuels",23,2012, GWh
"Biofuels",21,2013, GWh
"Biofuels",47,2014, GWh
"Biofuels",14,2015, GWh
"Biofuels",24,2016, GWh
"Biofuels",38,2017, GWh
"Biofuels",21,2018, GWh
"Biofuels",18,2019, GWh
"Biofuels",23,2020, GWh
"Biofuels",23,2021, GWh
"Biofuels",23,2022, GWh
"Wind",37,2000, GWh
"Wind",34,2001, GWh
"Wind",30,2002, GWh
"Wind",27,2003, GWh
"Wind",47,2004, GWh
"Wind",71,2005, GWh
"Wind",125,2006, GWh
"Wind",143,2007, GWh
"Wind",196,2008, GWh
"Wind",225,2009, GWh
"Wind",163,2010, GWh
"Wind",217,2011, GWh
"Wind",207,2012, GWh
"Wind",376,2013, GWh
"Wind",358,2014, GWh
"Wind",221,2015, GWh
"Wind",250,2016, GWh
"Wind",307,2017, GWh
"Wind",518,2018, GWh
"Wind",615,2019, GWh
"Wind",754,2020, GWh
"Wind",737,2021, GWh
"Wind",812,2022, GWh
"Solar PV",,2000, GWh
"Solar PV",,2001, GWh
"Solar PV",,2002, GWh
"Solar PV",,2003, GWh
"Solar PV",,2004, GWh
"Solar PV",,2005, GWh
"Solar PV",,2006, GWh
"Solar PV",,2007, GWh
"Solar PV",,2008, GWh
"Solar PV",,2009, GWh
"Solar PV",,2010, GWh
"Solar PV",,2011, GWh
"Solar PV",,2012, GWh
"Solar PV",,2013, GWh
"Solar PV",,2014, GWh
"Solar PV",1,2015, GWh
"Solar PV",4,2016, GWh
"Solar PV",86,2017, GWh
"Solar PV",339,2018, GWh
"Solar PV",672,2019, GWh
"Solar PV",583,2020, GWh
"Solar PV",621,2021, GWh
"Solar PV",735,2022, GWh