"transport total final consumption by source in Iran",Value,Year,Units
"Oil products",1062737,2000, TJ
"Oil products",1110561,2001, TJ
"Oil products",1199492,2002, TJ
"Oil products",1269269,2003, TJ
"Oil products",1344513,2004, TJ
"Oil products",1446903,2005, TJ
"Oil products",1533041,2006, TJ
"Oil products",1504225,2007, TJ
"Oil products",1546790,2008, TJ
"Oil products",1634583,2009, TJ
"Oil products",1462171,2010, TJ
"Oil products",1443548,2011, TJ
"Oil products",1522127,2012, TJ
"Oil products",1591689,2013, TJ
"Oil products",1750841,2014, TJ
"Oil products",1713209,2015, TJ
"Oil products",1597962,2016, TJ
"Oil products",1664544,2017, TJ
"Oil products",1718123,2018, TJ
"Oil products",1788234,2019, TJ
"Oil products",1564457,2020, TJ
"Oil products",1730900,2021, TJ
"Oil products",1737336,2022, TJ
"Natural gas",4466,2000, TJ
"Natural gas",13087,2001, TJ
"Natural gas",12156,2002, TJ
"Natural gas",12469,2003, TJ
"Natural gas",16044,2004, TJ
"Natural gas",28651,2005, TJ
"Natural gas",32665,2006, TJ
"Natural gas",51700,2007, TJ
"Natural gas",79443,2008, TJ
"Natural gas",135898,2009, TJ
"Natural gas",213630,2010, TJ
"Natural gas",236878,2011, TJ
"Natural gas",260945,2012, TJ
"Natural gas",252970,2013, TJ
"Natural gas",266432,2014, TJ
"Natural gas",278881,2015, TJ
"Natural gas",286545,2016, TJ
"Natural gas",287775,2017, TJ
"Natural gas",278187,2018, TJ
"Natural gas",283949,2019, TJ
"Natural gas",303024,2020, TJ
"Natural gas",322633,2021, TJ
"Natural gas",327942,2022, TJ
"Electricity",46,2000, TJ
"Electricity",64,2001, TJ
"Electricity",46,2002, TJ
"Electricity",50,2003, TJ
"Electricity",324,2004, TJ
"Electricity",388,2005, TJ
"Electricity",518,2006, TJ
"Electricity",612,2007, TJ
"Electricity",885,2008, TJ
"Electricity",1015,2009, TJ
"Electricity",1076,2010, TJ
"Electricity",1274,2011, TJ
"Electricity",1335,2012, TJ
"Electricity",1029,2013, TJ
"Electricity",1306,2014, TJ
"Electricity",1976,2015, TJ
"Electricity",1569,2016, TJ
"Electricity",1715,2017, TJ
"Electricity",1849,2018, TJ
"Electricity",2240,2019, TJ
"Electricity",2009,2020, TJ
"Electricity",2280,2021, TJ
"Electricity",2366,2022, TJ