"commercial and public services total final consumption by source in Mexico",Value,Year,Units
"Oil products",72532,2000, TJ
"Oil products",73856,2001, TJ
"Oil products",74949,2002, TJ
"Oil products",46361,2003, TJ
"Oil products",66960,2004, TJ
"Oil products",64288,2005, TJ
"Oil products",70404,2006, TJ
"Oil products",65702,2007, TJ
"Oil products",62855,2008, TJ
"Oil products",60830,2009, TJ
"Oil products",63049,2010, TJ
"Oil products",62884,2011, TJ
"Oil products",63139,2012, TJ
"Oil products",68474,2013, TJ
"Oil products",66771,2014, TJ
"Oil products",66970,2015, TJ
"Oil products",65492,2016, TJ
"Oil products",64878,2017, TJ
"Oil products",64182,2018, TJ
"Oil products",61850,2019, TJ
"Oil products",76182,2020, TJ
"Oil products",73864,2021, TJ
"Oil products",63506,2022, TJ
"Natural gas",6169,2000, TJ
"Natural gas",6542,2001, TJ
"Natural gas",7084,2002, TJ
"Natural gas",5918,2003, TJ
"Natural gas",5948,2004, TJ
"Natural gas",7250,2005, TJ
"Natural gas",8263,2006, TJ
"Natural gas",7568,2007, TJ
"Natural gas",9585,2008, TJ
"Natural gas",8373,2009, TJ
"Natural gas",9081,2010, TJ
"Natural gas",8352,2011, TJ
"Natural gas",9014,2012, TJ
"Natural gas",9304,2013, TJ
"Natural gas",10933,2014, TJ
"Natural gas",10919,2015, TJ
"Natural gas",10521,2016, TJ
"Natural gas",10861,2017, TJ
"Natural gas",11001,2018, TJ
"Natural gas",9865,2019, TJ
"Natural gas",8549,2020, TJ
"Natural gas",10644,2021, TJ
"Natural gas",10794,2022, TJ
"Electricity",63230,2000, TJ
"Electricity",65303,2001, TJ
"Electricity",66974,2002, TJ
"Electricity",68245,2003, TJ
"Electricity",69105,2004, TJ
"Electricity",69980,2005, TJ
"Electricity",69980,2006, TJ
"Electricity",72709,2007, TJ
"Electricity",74527,2008, TJ
"Electricity",76330,2009, TJ
"Electricity",74512,2010, TJ
"Electricity",77972,2011, TJ
"Electricity",80251,2012, TJ
"Electricity",82814,2013, TJ
"Electricity",82598,2014, TJ
"Electricity",85604,2015, TJ
"Electricity",86381,2016, TJ
"Electricity",85208,2017, TJ
"Electricity",118105,2018, TJ
"Electricity",103379,2019, TJ
"Electricity",69101,2020, TJ
"Electricity",64713,2021, TJ
"Electricity",68108,2022, TJ
"Wind, solar, etc.",698,2000, TJ
"Wind, solar, etc.",838,2001, TJ
"Wind, solar, etc.",931,2002, TJ
"Wind, solar, etc.",1072,2003, TJ
"Wind, solar, etc.",1190,2004, TJ
"Wind, solar, etc.",1359,2005, TJ
"Wind, solar, etc.",1515,2006, TJ
"Wind, solar, etc.",1748,2007, TJ
"Wind, solar, etc.",1254,2008, TJ
"Wind, solar, etc.",1538,2009, TJ
"Wind, solar, etc.",1795,2010, TJ
"Wind, solar, etc.",2181,2011, TJ
"Wind, solar, etc.",2563,2012, TJ
"Wind, solar, etc.",2819,2013, TJ
"Wind, solar, etc.",3124,2014, TJ
"Wind, solar, etc.",3423,2015, TJ
"Wind, solar, etc.",3802,2016, TJ
"Wind, solar, etc.",3870,2017, TJ
"Wind, solar, etc.",4753,2018, TJ
"Wind, solar, etc.",5175,2019, TJ
"Wind, solar, etc.",5965,2020, TJ
"Wind, solar, etc.",6641,2021, TJ
"Wind, solar, etc.",6868,2022, TJ